"Plotname","easting","northing","richness","altitude","TCI"
"CX152",228.0035,3193.4886,20,0.1236,1.27
"CX153",227.9035,3193.7886,7,0.0194,1.01
"CX51",211.9035,3173.1886,26,0.0763,1.41
"CX53",211.8035,3173.1886,14,0.1159,1.69
"CX54",211.7035,3173.1886,11,0.0327,1.65
"CX55",212.1035,3173.7886,21,0.3481,1.05
"CX56",212.3035,3173.8886,29,0.4021,1.15
"CX57",212.4035,3173.9886,20,0.439,1.3
"CX58",212.4035,3174.1886,21,0.4747,1.27
"CX59",212.5035,3174.3886,23,0.5085,1.2
"CX60",212.6035,3174.5886,30,0.5542,1.62
"CX61",212.7035,3174.5886,31,0.4274,1.25
"CX64",212.7035,3174.0886,22,0.2137,1.19
"CX65",212.8035,3173.9886,23,0.2037,1.24
"CX66",212.8035,3173.7886,12,0.0665,1.3
"CX67",212.9035,3173.8886,16,0.0713,1.35
"CX68",222.6035,3168.2886,12,1.4808,1.06
"CX69",222.5035,3168.1886,6,1.5409,1.06
"CX71",222.6035,3168.1886,11,1.5375,1.06
"CX72",223.0035,3167.5886,10,1.5503,1.05
"CX74",223.2035,3167.3886,7,1.5711,1.13
"CX75",223.2035,3167.0886,7,1.5701,1.08
"CX76",223.3035,3166.8886,5,1.5963,1.03
"CX77",223.2035,3166.8886,3,1.6169,1.04
"CX78",223.1035,3166.7886,2,1.6369,1.07
"CX79",222.9035,3166.6886,3,1.6455,1.04
"CX80",222.8035,3166.5886,8,1.6618,1.02
"CX82",222.6035,3166.5886,6,1.7281,1.04
"CX84",222.5035,3166.5886,6,1.7393,1.09
"CX85",222.3035,3166.5886,8,1.7373,1.06
"CX87",221.7035,3167.1886,8,1.6151,1.06
"CX88",221.6035,3167.4886,3,1.5709,1.12
"CX89",221.7035,3167.6886,5,1.6209,1.11
"CX90",221.9035,3167.7886,11,1.6385,1.16
"CX92",224.1035,3192.1886,49,0.4301,1.18
"CX93",224.3035,3192.6886,41,0.333,1.05
"CX94",223.9035,3192.1886,19,0.4042,1.44
"CX95",223.5035,3192.0886,33,0.2277,1.59
"CX96",223.4035,3191.7886,40,0.2786,1.25
"CX97",223.4035,3191.9886,57,0.2614,1.52
"DX001",217.2035,3191.8886,16,0.8069,1.1
"DX002",217.1035,3191.7886,18,0.8346,1.2
"DX003",217.0035,3191.7886,15,0.8416,1.28
"DX004",216.7035,3191.7886,21,0.7913,1.44
"DX005",216.7035,3191.6886,22,0.8045,1.31
"DX006",216.7035,3191.4886,23,0.8165,1.3
"DX007",216.5035,3191.2886,14,0.8673,1.31
"DX008",216.2035,3190.9886,18,0.8829,1.16
"DX009",216.2035,3190.7886,23,0.9336,1.21
"DX010",216.2035,3190.3886,14,0.9794,1.19
"DX013",224.8035,3182.4886,8,1.7509,1.09
"DX014",225.8035,3182.4886,11,1.6309,1.13
"DX015",225.7035,3182.4886,8,1.6303,1.16
"DX016",227.0035,3182.3886,18,1.3704,1.27
"DX017",227.0035,3182.2886,19,1.3402,1.14
"DX018",227.8035,3182.2886,23,1.1923,1.02
"DX019",227.6035,3182.2886,22,1.2209,1.11
"DX021",228.3035,3182.5886,27,1.072,1.2
"DX023",230.0035,3182.1886,16,0.7748,1.11
"DX024",231.3035,3181.5886,22,0.6118,1.15
"SCL001",230.0035,3177.8886,17,0.1779,1.03
"SCL002",230.2035,3178.0886,19,0.1885,1.08
"SCL003",229.7035,3178.7886,19,0.3201,1.12
"SCL004",229.4035,3179.1886,18,0.3852,1.2
"SCL005",229.7035,3179.4886,26,0.4756,1.05
"SCL006",229.7035,3179.6886,24,0.5098,1.46
"SCL007",229.2035,3180.1886,23,0.6756,1.23
"SCL008",229.3035,3180.0886,19,0.6494,1.26
"SCL009",228.6035,3180.1886,20,0.8916,1.2
"SCL010",228.3035,3179.9886,17,0.9503,1.21
"SCL011",227.5035,3180.3886,24,1.1148,1.21
"SCL012",227.3035,3180.4886,17,1.1766,1.23
"SCL013",227.4035,3180.9886,19,1.2706,1.08
"SCL014",227.5035,3180.9886,15,1.22,1.12
"SCL015",225.6035,3181.0886,17,1.5943,1.23
"SCL016",225.7035,3181.2886,7,1.5135,1.27
"SCL017",225.2035,3181.1886,6,1.666,1.11
"SCL018",223.8035,3182.5886,5,1.9841,1.21
"SCL019",223.5035,3183.2886,4,2.1229,1.16
"SCL020",221.7035,3183.9886,1,2.286,1.05
"SCL021",225.2035,3181.0886,3,1.6283,1.16
"SCL022",223.5035,3182.4886,11,2.0987,1.22
"SCL023",223.5035,3183.3886,11,2.0686,1.2
"SCL024",221.8035,3184.0886,2,2.2559,1.05
"SCL025",218.2035,3184.2886,9,2.3916,1.07
"SCL026",218.2035,3184.0886,5,2.2377,1.4
"SCL029",215.0035,3188.4886,10,1.1787,1.05
"SCL030",215.2035,3188.3886,9,1.1846,1.11
"SCL031",215.2035,3187.5886,18,1.3528,1.2
"SCL032",215.2035,3187.3886,15,1.3998,1.24
"SCL033",215.3035,3186.8886,10,1.5625,1.19
"SCL034",215.2035,3186.7886,6,1.5093,1.2
"SCL035",215.9035,3186.4886,11,1.7776,1.15
"SCL036",216.0035,3186.3886,6,1.8264,1.23
"SCL037",216.3035,3185.8886,5,1.9431,1.04
"SCL038",216.2035,3185.7886,6,1.9105,1.02
"SCL039",217.2035,3185.3886,9,2.1206,1.01
"SCL040",216.9035,3185.3886,1,2.0661,1.01
"SCL041",218.0035,3184.5886,3,2.3077,1.07
"SCL042",218.1035,3184.5886,3,2.313,1.09
"SCL043",231.6035,3181.6886,15,0.5104,1.07
"SCL045",230.5035,3182.2886,12,0.6968,1.04
"SCL046",230.6035,3182.3886,8,0.695,1.06
"SCL047",229.1035,3182.1886,9,0.9039,1.13
"SCL048",229.1035,3182.0886,6,0.9565,1.12
"SCL049",228.2035,3182.6886,14,1.1476,1.17
"SCL050",228.1035,3182.7886,10,1.1395,1.28
"SCL051",214.2035,3190.0886,10,0.8858,1.05
